,name,share_code,industry,industry_code
0,安徽皖通高速公路股份有限公司,600012,道路运输业,G54
1,河南中原高速公路股份有限公司,600020,道路运输业,G54
2,福建发展高速公路股份有限公司,600033,道路运输业,G54
3,湖北楚天智能交通股份有限公司,600035,道路运输业,G54
4,重庆路桥股份有限公司,600106,道路运输业,G54
5,长发集团长江投资实业股份有限公司,600119,道路运输业,G54
6,江西赣粤高速公路股份有限公司,600269,道路运输业,G54
7,山东高速股份有限公司,600350,道路运输业,G54
8,广西五洲交通股份有限公司,600368,道路运输业,G54
9,江苏宁沪高速公路股份有限公司,600377,道路运输业,G54
10,深圳高速公路集团股份有限公司,600548,道路运输业,G54
11,江西长运股份有限公司,600561,道路运输业,G54
12,大众交通(集团)股份有限公司,600611,道路运输业,G54
13,上海锦江在线网络服务股份有限公司,600650,道路运输业,G54
14,上海外服控股集团股份有限公司,600662,道路运输业,G54
15,上海交运集团股份有限公司,600676,道路运输业,G54
16,上海申通地铁股份有限公司,600834,道路运输业,G54
17,四川成渝高速公路股份有限公司,601107,道路运输业,G54
18,黑龙江交通发展股份有限公司,601188,道路运输业,G54
19,吉林高速公路股份有限公司,601518,道路运输业,G54
20,海南海汽运输集团股份有限公司,603069,道路运输业,G54
21,恒通物流股份有限公司,603223,道路运输业,G54
22,广东原尚物流股份有限公司,603813,道路运输业,G54
