,name,share_code,industry,industry_code
0,新疆天业股份有限公司,600075,化学原料和化学制品制造业,C26
1,江苏澄星磷化工股份有限公司,600078,化学原料和化学制品制造业,C26
2,云南云天化股份有限公司,600096,化学原料和化学制品制造业,C26
3,乐凯胶片股份有限公司,600135,化学原料和化学制品制造业,C26
4,湖北兴发化工集团股份有限公司,600141,化学原料和化学制品制造业,C26
5,浙江巨化股份有限公司,600160,化学原料和化学制品制造业,C26
6,宁夏中科生物科技股份有限公司,600165,化学原料和化学制品制造业,C26
7,沧州大化股份有限公司,600230,化学原料和化学制品制造业,C26
8,柳州两面针股份有限公司,600249,化学原料和化学制品制造业,C26
9,浙江嘉化能源化工股份有限公司,600273,化学原料和化学制品制造业,C26
10,亿利洁能股份有限公司,600277,化学原料和化学制品制造业,C26
11,南宁化工股份有限公司,600301,化学原料和化学制品制造业,C26
12,万华化学集团股份有限公司,600309,化学原料和化学制品制造业,C26
13,上海家化联合股份有限公司,600315,化学原料和化学制品制造业,C26
14,潍坊亚星化学股份有限公司,600319,化学原料和化学制品制造业,C26
15,中盐内蒙古化工股份有限公司,600328,化学原料和化学制品制造业,C26
16,浙江龙盛集团股份有限公司,600352,化学原料和化学制品制造业,C26
17,贵州红星发展股份有限公司,600367,化学原料和化学制品制造业,C26
18,江苏三房巷聚材股份有限公司,600370,化学原料和化学制品制造业,C26
19,昊华化工科技集团股份有限公司,600378,化学原料和化学制品制造业,C26
20,南通江山农药化工股份有限公司,600389,化学原料和化学制品制造业,C26
21,唐山三友化工股份有限公司,600409,化学原料和化学制品制造业,C26
22,柳州化工股份有限公司,600423,化学原料和化学制品制造业,C26
23,山东华鲁恒升化工股份有限公司,600426,化学原料和化学制品制造业,C26
24,安徽六国化工股份有限公司,600470,化学原料和化学制品制造业,C26
25,江苏扬农化工股份有限公司,600486,化学原料和化学制品制造业,C26
26,中化国际(控股)股份有限公司,600500,化学原料和化学制品制造业,C26
27,广东榕泰实业股份有限公司,600589,化学原料和化学制品制造业,C26
28,浙江新安化工集团股份有限公司,600596,化学原料和化学制品制造业,C26
29,贵州中毅达股份有限公司,600610,化学原料和化学制品制造业,C26
30,上海氯碱化工股份有限公司,600618,化学原料和化学制品制造业,C26
31,上海华谊集团股份有限公司,600623,化学原料和化学制品制造业,C26
32,阳煤化工股份有限公司,600691,化学原料和化学制品制造业,C26
33,青海金瑞矿业发展股份有限公司,600714,化学原料和化学制品制造业,C26
