,name,share_code,industry,industry_code
0,上海梅林正广和股份有限公司,600073,食品制造业,C14
1,莲花健康产业集团股份有限公司,600186,食品制造业,C14
2,安琪酵母股份有限公司,600298,食品制造业,C14
3,江苏恒顺醋业股份有限公司,600305,食品制造业,C14
4,青海春天药用资源科技股份有限公司,600381,食品制造业,C14
5,新疆天润乳业股份有限公司,600419,食品制造业,C14
6,北京三元食品股份有限公司,600429,食品制造业,C14
7,光明乳业股份有限公司,600597,食品制造业,C14
8,鲁银投资集团股份有限公司,600784,食品制造业,C14
9,广东肇庆星湖生物科技股份有限公司,600866,食品制造业,C14
10,中炬高新技术实业(集团)股份有限公司,600872,食品制造业,C14
11,梅花生物科技集团股份有限公司,600873,食品制造业,C14
12,上海妙可蓝多食品科技股份有限公司,600882,食品制造业,C14
13,内蒙古伊利实业集团股份有限公司,600887,食品制造业,C14
14,雪天盐业集团股份有限公司,600929,食品制造业,C14
15,爱普香料集团股份有限公司,603020,食品制造业,C14
16,千禾味业食品股份有限公司,603027,食品制造业,C14
17,广州酒家集团股份有限公司,603043,食品制造业,C14
18,浙江圣达生物药业股份有限公司,603079,食品制造业,C14
19,威海百合生物技术股份有限公司,603102,食品制造业,C14
20,上海宝立食品科技股份有限公司,603170,食品制造业,C14
21,江西天新药业股份有限公司,603235,食品制造业,C14
22,浙江五芳斋实业股份有限公司,603237,食品制造业,C14
23,佛山市海天调味食品股份有限公司,603288,食品制造业,C14
24,江苏苏盐井神股份有限公司,603299,食品制造业,C14
25,四川天味食品集团股份有限公司,603317,食品制造业,C14
26,安记食品股份有限公司,603696,食品制造业,C14
27,有友食品股份有限公司,603697,食品制造业,C14
28,青岛蔚蓝生物股份有限公司,603739,食品制造业,C14
29,青岛日辰食品股份有限公司,603755,食品制造业,C14
30,桃李面包股份有限公司,603866,食品制造业,C14
31,上海元祖梦果子股份有限公司,603886,食品制造业,C14
32,山东百龙创园生物科技股份有限公司,605016,食品制造业,C14
33,浙江一鸣食品股份有限公司,605179,食品制造业,C14
34,佳禾食品工业股份有限公司,605300,食品制造业,C14
35,中饮巴比食品股份有限公司,605338,食品制造业,C14
36,南侨食品集团(上海)股份有限公司,605339,食品制造业,C14
37,嘉必优生物技术(武汉)股份有限公司,688089,食品制造业,C14
