,name,share_code,industry,industry_code
0,三一重工股份有限公司,600031,专用设备制造业,C35
1,北京万东医疗科技股份有限公司,600055,专用设备制造业,C35
2,太原重工股份有限公司,600169,专用设备制造业,C35
3,北方光电股份有限公司,600184,专用设备制造业,C35
4,内蒙古北方重型汽车股份有限公司,600262,专用设备制造业,C35
5,西安标准工业股份有限公司,600302,专用设备制造业,C35
6,上海振华重工(集团)股份有限公司,600320,专用设备制造业,C35
7,陕西航天动力高科技股份有限公司,600343,专用设备制造业,C35
8,福建龙净环保股份有限公司,600388,专用设备制造业,C35
9,科达制造股份有限公司,600499,专用设备制造业,C35
10,浙江菲达环保科技股份有限公司,600526,专用设备制造业,C35
11,中铁高新工业股份有限公司,600528,专用设备制造业,C35
12,卓郎智能技术股份有限公司,600545,专用设备制造业,C35
13,北京金自天正智能控制股份有限公司,600560,专用设备制造业,C35
14,克劳斯玛菲股份有限公司,600579,专用设备制造业,C35
15,天地科技股份有限公司,600582,专用设备制造业,C35
16,山东新华医疗器械股份有限公司,600587,专用设备制造业,C35
17,安徽合力股份有限公司,600761,专用设备制造业,C35
18,厦门厦工机械股份有限公司,600815,专用设备制造业,C35
19,宇通重工股份有限公司,600817,专用设备制造业,C35
20,上工申贝(集团)股份有限公司,600843,专用设备制造业,C35
21,北京航天长峰股份有限公司,600855,专用设备制造业,C35
22,北京京城机电股份有限公司,600860,专用设备制造业,C35
23,航天时代电子技术股份有限公司,600879,专用设备制造业,C35
24,陕西建设机械股份有限公司,600984,专用设备制造业,C35
25,第一拖拉机股份有限公司,601038,专用设备制造业,C35
26,江苏恒立液压股份有限公司,601100,专用设备制造业,C35
27,中国第一重型机械股份公司,601106,专用设备制造业,C35
28,江苏吉鑫风能科技股份有限公司,601218,专用设备制造业,C35
29,中信重工机械股份有限公司,601608,专用设备制造业,C35
30,甘肃蓝科石化高新装备股份有限公司,601798,专用设备制造业,C35
31,北京京运通科技股份有限公司,601908,专用设备制造业,C35
32,上海创力集团股份有限公司,603012,专用设备制造业,C35
33,山东天鹅棉业机械股份有限公司,603029,专用设备制造业,C35
34,德力西新能源科技股份有限公司,603032,专用设备制造业,C35
35,江苏如通石油机械股份有限公司,603036,专用设备制造业,C35
36,天津金海通半导体设备股份有限公司,603061,专用设备制造业,C35
37,宁波乐惠国际工程装备股份有限公司,603076,专用设备制造业,C35
38,浙江大丰实业股份有限公司,603081,专用设备制造业,C35
39,宁波精达成形装备股份有限公司,603088,专用设备制造业,C35
40,浙江越剑智能装备股份有限公司,603095,专用设备制造业,C35
41,上海亚虹模具股份有限公司,603159,专用设备制造业,C35
42,兰州兰石重型装备股份有限公司,603169,专用设备制造业,C35
43,无锡上机数控股份有限公司,603185,专用设备制造业,C35
44,快克智能装备股份有限公司,603203,专用设备制造业,C35
45,福建南方路面机械股份有限公司,603280,专用设备制造业,C35
46,浙江亚光科技股份有限公司,603282,专用设备制造业,C35
47,苏州赛腾精密电子股份有限公司,603283,专用设备制造业,C35
48,泰瑞机器股份有限公司,603289,专用设备制造业,C35
49,振德医疗用品股份有限公司,603301,专用设备制造业,C35
50,安徽应流机电股份有限公司,603308,专用设备制造业,C35
51,广州维力医疗器械股份有限公司,603309,专用设备制造业,C35
52,浙江金海高科股份有限公司,603311,专用设备制造业,C35
53,上海盛剑环境系统科技股份有限公司,603324,专用设备制造业,C35
54,杰克科技股份有限公司,603337,专用设备制造业,C35
55,浙江鼎力机械股份有限公司,603338,专用设备制造业,C35
56,营口金辰机械股份有限公司,603396,专用设备制造业,C35
57,烟台艾迪精密机械股份有限公司,603638,专用设备制造业,C35
58,合肥泰禾智能科技集团股份有限公司,603656,专用设备制造业,C35
59,亿嘉和科技股份有限公司,603666,专用设备制造业,C35
60,福龙马集团股份有限公司,603686,专用设备制造业,C35
61,上海至纯洁净系统科技股份有限公司,603690,专用设备制造业,C35
62,星光农机股份有限公司,603789,专用设备制造业,C35
63,苏州道森钻采设备股份有限公司,603800,专用设备制造业,C35
64,华荣科技股份有限公司,603855,专用设备制造业,C35
