,name,share_code,industry,industry_code
0,金健米业股份有限公司,600127,农副食品加工业,C13
1,包头华资实业股份有限公司,600191,农副食品加工业,C13
2,新疆冠农股份有限公司,600251,农副食品加工业,C13
3,通威股份有限公司,600438,农副食品加工业,C13
4,中粮糖业控股股份有限公司,600737,农副食品加工业,C13
5,东方集团股份有限公司,600811,农副食品加工业,C13
6,河北福成五丰食品股份有限公司,600965,农副食品加工业,C13
7,江苏省农垦农业发展股份有限公司,601952,农副食品加工业,C13
8,上海紫燕食品股份有限公司,603057,农副食品加工业,C13
9,山东邦基科技股份有限公司,603151,农副食品加工业,C13
10,山东嘉华生物科技股份有限公司,603182,农副食品加工业,C13
11,宏辉果蔬股份有限公司,603336,农副食品加工业,C13
12,安井食品集团股份有限公司,603345,农副食品加工业,C13
13,福建傲农生物科技集团股份有限公司,603363,农副食品加工业,C13
14,绝味食品股份有限公司,603517,农副食品加工业,C13
15,山东惠发食品股份有限公司,603536,农副食品加工业,C13
16,禾丰食品股份有限公司,603609,农副食品加工业,C13
17,福建天马科技集团股份有限公司,603668,农副食品加工业,C13
18,浙江华康药业股份有限公司,605077,农副食品加工业,C13
19,苏州市味知香食品股份有限公司,605089,农副食品加工业,C13
20,春雪食品集团股份有限公司,605567,农副食品加工业,C13
