,name,share_code,industry,industry_code
0,湖北美尔雅股份有限公司,600107,纺织服装、服饰业,C18
1,四川浪莎控股股份有限公司,600137,纺织服装、服饰业,C18
2,雅戈尔集团股份有限公司,600177,纺织服装、服饰业,C18
3,海澜之家集团股份有限公司,600398,纺织服装、服饰业,C18
4,江苏红豆实业股份有限公司,600400,纺织服装、服饰业,C18
5,九牧王股份有限公司,601566,纺织服装、服饰业,C18
6,际华集团股份有限公司,601718,纺织服装、服饰业,C18
7,日播时尚集团股份有限公司,603196,纺织服装、服饰业,C18
8,爱慕股份有限公司,603511,纺织服装、服饰业,C18
9,锦泓时装集团股份有限公司,603518,纺织服装、服饰业,C18
10,贵人鸟股份有限公司,603555,纺织服装、服饰业,C18
11,地素时尚股份有限公司,603587,纺织服装、服饰业,C18
12,深圳歌力思服饰股份有限公司,603808,纺织服装、服饰业,C18
13,安正时尚集团股份有限公司,603839,纺织服装、服饰业,C18
14,宁波太平鸟时尚服饰股份有限公司,603877,纺织服装、服饰业,C18
15,牧高笛户外用品股份有限公司,603908,纺织服装、服饰业,C18
16,浙江盛泰服装集团股份有限公司,605138,纺织服装、服饰业,C18
