,name,share_code,industry,industry_code
0,华东建筑集团股份有限公司,600629,专业技术服务业,M74
1,华电重工股份有限公司,601226,专业技术服务业,M74
2,中国汽车工程研究院股份有限公司,601965,专业技术服务业,M74
3,中衡设计集团股份有限公司,603017,专业技术服务业,M74
4,华设设计集团股份有限公司,603018,专业技术服务业,M74
5,中国国检测试控股集团股份有限公司,603060,专业技术服务业,M74
6,中材节能股份有限公司,603126,专业技术服务业,M74
7,上海建科集团股份有限公司,603153,专业技术服务业,M74
8,苏州市建筑科学研究院集团股份有限公司,603183,专业技术服务业,M74
9,安徽省交通规划设计研究总院股份有限公司,603357,专业技术服务业,M74
10,贵州省交通规划勘察设计研究院股份有限公司,603458,专业技术服务业,M74
11,航天长征化学工程股份有限公司,603698,专业技术服务业,M74
12,永安行科技股份有限公司,603776,专业技术服务业,M74
13,能科科技股份有限公司,603859,专业技术服务业,M74
14,中公高科养护科技股份有限公司,603860,专业技术服务业,M74
15,建发合诚工程咨询股份有限公司,603909,专业技术服务业,M74
16,江苏利柏特股份有限公司,605167,专业技术服务业,M74
17,成都思科瑞微电子股份有限公司,688053,专业技术服务业,M74
18,南方电网电力科技股份有限公司,688248,专业技术服务业,M74
19,北京诺禾致源科技股份有限公司,688315,专业技术服务业,M74
20,正元地理信息集团股份有限公司,688509,专业技术服务业,M74
