,name,share_code,industry,industry_code
0,特变电工股份有限公司,600089,电气机械和器材制造业,C38
1,江苏永鼎股份有限公司,600105,电气机械和器材制造业,C38
2,贵州长征天成控股股份有限公司,600112,电气机械和器材制造业,C38
3,维科技术股份有限公司,600152,电气机械和器材制造业,C38
4,兰州长城电工股份有限公司,600192,电气机械和器材制造业,C38
5,哈尔滨空调股份有限公司,600202,电气机械和器材制造业,C38
6,辽宁时代万恒股份有限公司,600241,电气机械和器材制造业,C38
7,浙江阳光照明电器集团股份有限公司,600261,电气机械和器材制造业,C38
8,国电南京自动化股份有限公司,600268,电气机械和器材制造业,C38
9,华仪电气股份有限公司,600290,电气机械和器材制造业,C38
10,河南平高电气股份有限公司,600312,电气机械和器材制造业,C38
11,澳柯玛股份有限公司,600336,电气机械和器材制造业,C38
12,陕西宝光真空电器股份有限公司,600379,电气机械和器材制造业,C38
13,天津百利特精电气股份有限公司,600468,电气机械和器材制造业,C38
14,湖南科力远新能源股份有限公司,600478,电气机械和器材制造业,C38
15,双良节能系统股份有限公司,600481,电气机械和器材制造业,C38
16,江苏亨通光电股份有限公司,600487,电气机械和器材制造业,C38
17,文一三佳科技股份有限公司,600520,电气机械和器材制造业,C38
18,江苏中天科技股份有限公司,600522,电气机械和器材制造业,C38
19,亿晶光电科技股份有限公司,600537,电气机械和器材制造业,C38
20,保定天威保变电气股份有限公司,600550,电气机械和器材制造业,C38
21,铜陵精达特种电磁线股份有限公司,600577,电气机械和器材制造业,C38
22,卧龙电气驱动集团股份有限公司,600580,电气机械和器材制造业,C38
23,泰豪科技股份有限公司,600590,电气机械和器材制造业,C38
24,上海飞乐音响股份有限公司,600651,电气机械和器材制造业,C38
25,海尔智家股份有限公司,600690,电气机械和器材制造业,C38
26,上海爱旭新能源股份有限公司,600732,电气机械和器材制造业,C38
27,重庆万里新能源股份有限公司,600847,电气机械和器材制造业,C38
28,江苏春兰制冷设备股份有限公司,600854,电气机械和器材制造业,C38
29,远东智慧能源股份有限公司,600869,电气机械和器材制造业,C38
30,宁波杉杉股份有限公司,600884,电气机械和器材制造业,C38
31,宏发科技股份有限公司,600885,电气机械和器材制造业,C38
32,宝胜科技创新股份有限公司,600973,电气机械和器材制造业,C38
33,惠而浦(中国)股份有限公司,600983,电气机械和器材制造业,C38
34,隆基绿能科技股份有限公司,601012,电气机械和器材制造业,C38
35,北京四方继保自动化股份有限公司,601126,电气机械和器材制造业,C38
36,中国西电电气股份有限公司,601179,电气机械和器材制造业,C38
37,骆驼集团股份有限公司,601311,电气机械和器材制造业,C38
38,西安陕鼓动力股份有限公司,601369,电气机械和器材制造业,C38
39,上海广电电气(集团)股份有限公司,601616,电气机械和器材制造业,C38
40,浙江正泰电器股份有限公司,601877,电气机械和器材制造业,C38
41,宁波弘讯科技股份有限公司,603015,电气机械和器材制造业,C38
42,无锡新宏泰电器科技股份有限公司,603016,电气机械和器材制造业,C38
43,福达合金材料股份有限公司,603045,电气机械和器材制造业,C38
44,石家庄科林电气股份有限公司,603050,电气机械和器材制造业,C38
45,深圳市禾望电气股份有限公司,603063,电气机械和器材制造业,C38
46,万控智造股份有限公司,603070,电气机械和器材制造业,C38
47,江苏华辰变压器股份有限公司,603097,电气机械和器材制造业,C38
48,浙江芯能光伏科技股份有限公司,603105,电气机械和器材制造业,C38
49,重庆望变电气(集团)股份有限公司,603191,电气机械和器材制造业,C38
50,公牛集团股份有限公司,603195,电气机械和器材制造业,C38
51,浙江比依电器股份有限公司,603215,电气机械和器材制造业,C38
52,宁波富佳实业股份有限公司,603219,电气机械和器材制造业,C38
53,横店集团得邦照明股份有限公司,603303,电气机械和器材制造业,C38
54,浙江百达精工股份有限公司,603331,电气机械和器材制造业,C38
55,尚纬股份有限公司,603333,电气机械和器材制造业,C38
56,莱克电气股份有限公司,603355,电气机械和器材制造业,C38
57,日出东方控股股份有限公司,603366,电气机械和器材制造业,C38
58,科沃斯机器人股份有限公司,603486,电气机械和器材制造业,C38
59,展鹏科技股份有限公司,603488,电气机械和器材制造业,C38
60,八方电气(苏州)股份有限公司,603489,电气机械和器材制造业,C38
61,江苏振江新能源装备股份有限公司,603507,电气机械和器材制造业,C38
62,欧普照明股份有限公司,603515,电气机械和器材制造业,C38
63,江苏立霸实业股份有限公司,603519,电气机械和器材制造业,C38
64,江苏神马电力股份有限公司,603530,电气机械和器材制造业,C38
65,奥普家居股份有限公司,603551,电气机械和器材制造业,C38
66,上海荣泰健康科技股份有限公司,603579,电气机械和器材制造业,C38
67,浙江捷昌线性驱动科技股份有限公司,603583,电气机械和器材制造业,C38
68,宁波东方电缆股份有限公司,603606,电气机械和器材制造业,C38
69,杭州电缆股份有限公司,603618,电气机械和器材制造业,C38
70,上海璞泰来新能源科技股份有限公司,603659,电气机械和器材制造业,C38
71,奇精机械股份有限公司,603677,电气机械和器材制造业,C38
72,四川华体照明科技股份有限公司,603679,电气机械和器材制造业,C38
73,浙江晨丰科技股份有限公司,603685,电气机械和器材制造业,C38
74,浙江德宏汽车电子电器股份有限公司,603701,电气机械和器材制造业,C38
75,浙江盛洋科技股份有限公司,603703,电气机械和器材制造业,C38
76,上海鸣志电器股份有限公司,603728,电气机械和器材制造业,C38
77,常州神力电机股份有限公司,603819,电气机械和器材制造业,C38
78,江苏洛凯机电股份有限公司,603829,电气机械和器材制造业,C38
79,广州白云电器设备股份有限公司,603861,电气机械和器材制造业,C38
80,上海飞科电器股份有限公司,603868,电气机械和器材制造业,C38
