,name,share_code,industry,industry_code
0,河南黄河旋风股份有限公司,600172,非金属矿物制品业,C30
1,中国巨石股份有限公司,600176,非金属矿物制品业,C30
2,湖北三峡新型建材股份有限公司,600293,非金属矿物制品业,C30
3,西藏天路股份有限公司,600326,非金属矿物制品业,C30
4,宁波韵升股份有限公司,600366,非金属矿物制品业,C30
5,新疆青松建材化工(集团)股份有限公司,600425,非金属矿物制品业,C30
6,宁夏建材集团股份有限公司,600449,非金属矿物制品业,C30
7,方大炭素新材料科技股份有限公司,600516,非金属矿物制品业,C30
8,山东省药用玻璃股份有限公司,600529,非金属矿物制品业,C30
9,安徽海螺水泥股份有限公司,600585,非金属矿物制品业,C30
10,山东金晶科技股份有限公司,600586,非金属矿物制品业,C30
11,福耀玻璃工业集团股份有限公司,600660,非金属矿物制品业,C30
12,浙江尖峰集团股份有限公司,600668,非金属矿物制品业,C30
13,四川金顶(集团)股份有限公司,600678,非金属矿物制品业,C30
14,甘肃祁连山水泥集团股份有限公司,600720,非金属矿物制品业,C30
15,宁波富达股份有限公司,600724,非金属矿物制品业,C30
16,华新水泥股份有限公司,600801,非金属矿物制品业,C30
17,福建水泥股份有限公司,600802,非金属矿物制品业,C30
18,上海耀皮玻璃集团股份有限公司,600819,非金属矿物制品业,C30
19,凯盛新能源股份有限公司,600876,非金属矿物制品业,C30
20,吉林亚泰(集团)股份有限公司,600881,非金属矿物制品业,C30
21,云南博闻科技实业股份有限公司,600883,非金属矿物制品业,C30
22,株洲旗滨集团股份有限公司,601636,非金属矿物制品业,C30
23,福莱特玻璃集团股份有限公司,601865,非金属矿物制品业,C30
24,北京金隅集团股份有限公司,601992,非金属矿物制品业,C30
25,山东华鹏玻璃股份有限公司,603021,非金属矿物制品业,C30
26,宏和电子材料科技股份有限公司,603256,非金属矿物制品业,C30
27,广东松发陶瓷股份有限公司,603268,非金属矿物制品业,C30
28,惠达卫浴股份有限公司,603385,非金属矿物制品业,C30
29,浙江三星新材股份有限公司,603578,非金属矿物制品业,C30
30,重庆再升科技股份有限公司,603601,非金属矿物制品业,C30
31,索通发展股份有限公司,603612,非金属矿物制品业,C30
32,北京韩建河山管业股份有限公司,603616,非金属矿物制品业,C30
33,三祥新材股份有限公司,603663,非金属矿物制品业,C30
34,江苏太平洋石英股份有限公司,603688,非金属矿物制品业,C30
35,广东天安新材料股份有限公司,603725,非金属矿物制品业,C30
36,福建坤彩材料科技股份有限公司,603826,非金属矿物制品业,C30
37,广东四通集团股份有限公司,603838,非金属矿物制品业,C30
38,山东玻纤集团股份有限公司,605006,非金属矿物制品业,C30
39,重庆四方新材股份有限公司,605122,非金属矿物制品业,C30
40,安徽大地熊新材料股份有限公司,688077,非金属矿物制品业,C30
41,中钢洛耐科技股份有限公司,688119,非金属矿物制品业,C30
42,锦州神工半导体股份有限公司,688233,非金属矿物制品业,C30
43,江苏联瑞新材料股份有限公司,688300,非金属矿物制品业,C30
44,福建赛特新材股份有限公司,688398,非金属矿物制品业,C30
45,湖南金博碳素股份有限公司,688598,非金属矿物制品业,C30
46,安徽壹石通材料科技股份有限公司,688733,非金属矿物制品业,C30
